name,arch,ami
GKE 5.4,x86_64,0013845506cbdf2ca
GKE 5.10,x86_64,049b1b3a4a5fdf9fd
GKE 5.15,x86_64,01f6d4f80f256ffe4
GKE 5.15,aarch64,079f308677600eebf
AMZN2 5.10,x86_64,05d03d50b6008ede7
AMZN2 5.10,aarch64,05e46d0a87c96bf69
RHEL8 4.18,x86_64,0e6e8bf2181db9d65
Focal 5.4,x86_64,0c75089aa342ffa26
Focal 5.13,x86_64,094d5310a281c8679
Focal 5.13,aarch64,08f88e2a2bd1b72a7
Jammy 5.15,x86_64,0d01de8f7b26afe02
Jammy 5.15,aarch64,08e91aa07134e6a36
Jammy 5.19,x86_64,02691308713b4cec2
Jammy 5.19,aarch64,046579f8e52acb104
Lunar 6.2,x86_64,034e03e1bdb7c205f
Lunar 6.2,aarch64,04b03463ee4e32182
Mantic 6.5,x86_64,0a44ad46e5c42e499
Mantic 6.5,aarch64,0387f77c4820c98db
Mantic 6.6,x86_64,05b5ac8f6c43b3ca5
Mantic 6.6,aarch64,05c9d6cd9343f0a43
Noble 6.8,x86_64,0cc63426ae75d47c8
Noble 6.8,aarch64,0f5260685b3ec2293
Noble 6.10,x86_64,0ae23eabda70efc60
Noble 6.10,aarch64,01ce0f71400b5ff38
Noble 6.11,x86_64,0ce1f88aa63091921
Noble 6.11,aarch64,0123508488affb578
Noble 6.12,x86_64,0e38f3caba1b4234d
Noble 6.12,aarch64,0547f429681dc1f2a
